ID_מכירה,week,name
148236,"ואתחנן תשפ""ה",משה רבנו אחיסמך
148240,"ואתחנן תשפ""ה",בני דוד עלי
148242,"ואתחנן תשפ""ה","גדליה נוימן נווה יעקב "
148244,"ואתחנן תשפ""ה",אלחריזי בית ד' בני ברק
148245,"ואתחנן תשפ""ה",קובלסקי בני ברק
148248,"ואתחנן תשפ""ה",שערי תשובה מודיעין עיל
148256,"ואתחנן תשפ""ה",נרקיסים - נוף הגליל
148263,"ואתחנן תשפ""ה",משולם ראט - ירושלים
148268,"ואתחנן תשפ""ה",האמוראים בית שמש
148277,"ואתחנן תשפ""ה",הרב פניז'ל נווה יעקב י
148292,"ואתחנן תשפ""ה",רבנו אשר בני ברק
148295,"ואתחנן תשפ""ה",כנסת יחזקאל ביתר עילית
148299,"ואתחנן תשפ""ה",הורדים רכסים
148300,"ואתחנן תשפ""ה",אור הגנוז
148304,"ואתחנן תשפ""ה",הספרייה ירושליים
148315,"ואתחנן תשפ""ה",רב חנינא בית שמש
148321,"ואתחנן תשפ""ה",נלסון גליק ירושליים
148330,"ואתחנן תשפ""ה","מאור חיים צפת "
148337,"ואתחנן תשפ""ה","ברקן קרית גת "
148356,"ראה תשפ""ה",יהודה הנשיא מודיעין עי
148357,"ראה תשפ""ה",רבי עקיבא מודיעין עילי
148360,"ראה תשפ""ה",מרומי שדה מודיעין עילי
148361,"ראה תשפ""ה",נאות הפיסגה מודיעין עי
148362,"ראה תשפ""ה",נהר הירדן בית שמש
148368,"ראה תשפ""ה",שכונת אור החיים בני בר
148369,"ראה תשפ""ה",שטרן ירושליים
148370,"ראה תשפ""ה",זנגוויל ירושליים
148372,"ראה תשפ""ה",בעלזא חיפה
148373,"ראה תשפ""ה",גור חיפה
148374,"ראה תשפ""ה",בית תפילה מודיעין עילי
148375,"ראה תשפ""ה",ישעיהו בני ברק
148381,"ראה תשפ""ה",נאות יוסף בני ברק
148382,"ראה תשפ""ה",נפש החיים אשדוד
148383,"ראה תשפ""ה",בית שמואל אשדוד
148385,"ראה תשפ""ה",גבעת ירושלים בית שמש
148390,"ראה תשפ""ה",קרלין מודיעין עילית
148392,"ראה תשפ""ה",גרין פארק מודיעין עילי
148393,"ראה תשפ""ה",הצבעוני אשדוד
148394,"ראה תשפ""ה",סנהדריה המורחבת ירושלי
148397,"ראה תשפ""ה",חפץ חיים זכרון יעקב
148402,"ראה תשפ""ה",בני הישיבות בני ברק
148403,"ראה תשפ""ה",נחל שורק בית שמש
148405,"ראה תשפ""ה",הקריה אופקים
148407,"ראה תשפ""ה",ינאי אשדוד
148408,"ראה תשפ""ה",בית וגן ירושליים
148411,"ראה תשפ""ה",חזון דוד מודיעין עילית
148412,"ראה תשפ""ה",תפרח
148417,"ראה תשפ""ה","הרב בנדר ביתר עילית "
148420,"ראה תשפ""ה",הפסגה ירושליים
148422,"ראה תשפ""ה",קרית גת
148426,"ראה תשפ""ה",גני יצהר- אלעד
148428,"ראה תשפ""ה",בית ספר טללים - ערד
148429,"ראה תשפ""ה",ויקטור ויוליוס נווה יע
148432,"ראה תשפ""ה",רמבם בני ברק
148433,"ראה תשפ""ה",בן זכאי בני ברק
148435,"ראה תשפ""ה",פאגי ירושליים
148436,"ראה תשפ""ה",גבעה A ביתר
148437,"ראה תשפ""ה",רמות פולין- ירושליים
148442,"ראה תשפ""ה",שיכון ו בני ברק
148445,"ראה תשפ""ה",מבוא שניר קרית גת
148450,"ראה תשפ""ה",גבעת שאול - ירושליים
148451,"ראה תשפ""ה",עובדי מחסן
148452,"ראה תשפ""ה",רמת שלמה - ירושליים
148453,"ראה תשפ""ה",הרב קוק - רכסים
148456,"ראה תשפ""ה",בית מרגלית בני ברק
148458,"ראה תשפ""ה",קרית הרצוג בני ברק
148464,"ראה תשפ""ה",הר יונה נוף הגליל
148469,"ראה תשפ""ה",הרב הירש בני ברק
148471,"ראה תשפ""ה",שלב ד בית שמש
148478,"ראה תשפ""ה",בעל הנס אשדוד
148481,"ראה תשפ""ה",יונה בן אמיתי בית שמש
148484,"ראה תשפ""ה",מינץ ירושליים
148485,"ראה תשפ""ה",מיימון בני ברק
148486,"ראה תשפ""ה",משה סנה נווה יעקב
148489,"ראה תשפ""ה",זכרון אברהם ירושליים
148490,"ראה תשפ""ה",אהל איתן נווה יעקב ירו
148491,"ראה תשפ""ה",חיל האוויר פסגת זאב
148494,"ראה תשפ""ה","אבא אחימאיר נווה יעקב "
148495,"ראה תשפ""ה",נחלת שלמה נתיבות
148500,"ראה תשפ""ה",כרמיאל (שכ' הדרומית)
148503,"ראה תשפ""ה",נג'ארה ירושליים
148505,"ראה תשפ""ה",חבל שלום
148511,"ראה תשפ""ה",גינת יוסף בני ברק
148522,"ראה תשפ""ה",אמרי בינה ירושליים
148523,"ראה תשפ""ה","רלב""ג בני ברק"
148525,"ראה תשפ""ה",מעלה הזיתים ירושליים
148527,"ראה תשפ""ה",בתי הורנשטיין ירושליים
148529,"ראה תשפ""ה",רבנו תם בני ברק
148530,"ראה תשפ""ה",הבוכרים ירושליים
